"Timestamp","ann1","ann2","ann4","svm_l","svm_p","svm_r","gbm1","gbm3","gbm4","rf1","Qlearning","target.y"
"01/06/2015 00:00",2086.92997669756,2110.68137414932,2044.56378335595,2069.78435425015,2028.52986493208,1909.22807127371,2255.51300273327,2309.69229132418,2277.1573575196,2052.78822954362,2086.92997669756,2143.25
"01/06/2015 01:00",2010.63965666115,1976.18088332832,1937.69172586083,2048.7711127247,2029.63022494579,1868.68813556271,2157.04114844391,2211.550716195,1974.38631732626,1930.61549053535,1976.18088332832,2021.18
"01/06/2015 02:00",1923.72472610295,1836.74059415936,1829.09855078816,2004.41017613013,2028.33792148706,1827.11962694933,2135.48291879613,2155.61404452106,2024.16635121154,1951.31987254074,2028.33792148706,1996.06
"01/06/2015 03:00",1857.41497901261,1733.68579057932,1744.47065694094,1957.05340934093,2027.4798331124,1807.66844181574,2135.20954264571,2129.987834375,2002.39829850319,1914.82631479463,1957.05340934093,1979.55
"01/06/2015 04:00",1819.71089933097,1684.13709627867,1702.43301318944,1912.50918911459,2028.57177126147,1815.96467716365,2135.20954264571,2129.987834375,1937.24072139316,1903.99134560591,1912.50918911459,1908.81
"01/06/2015 05:00",1817.08262820244,1696.87040237308,1730.03758396864,1881.30965747661,2037.45779682123,1849.05984408197,2135.20954264571,2129.987834375,1950.80680218917,1914.74165864295,1881.30965747661,1926.21
"01/06/2015 06:00",1834.88346006572,1768.03027487278,1793.9547967732,1850.91432334249,2046.34062808806,1898.97049862804,2135.20954264571,2129.987834375,1964.85824682388,1929.74231295248,1929.74231295248,1953.06
"01/06/2015 07:00",1846.26426213264,1836.77626238704,1809.99947079301,1849.51271811041,2072.42780908988,1940.8813381636,2135.66993159741,2151.32085527923,2045.96489459946,1996.29327915295,2045.96489459946,2132.58
"01/06/2015 08:00",1946.51584443927,1906.07498183787,1979.99600217342,2144.77370878286,2205.19840818608,2227.46202510591,2293.48716158272,2309.75703408382,2186.81542885967,2249.32764666667,2293.48716158272,2476.73
"01/06/2015 09:00",2091.70587702751,2050.62034888864,2219.90577637792,2334.15116861828,2313.34832409881,2481.75357650078,2422.7436334348,2483.05675079977,2359.71808036868,2340.67203366667,2483.05675079977,2505.01
"01/06/2015 10:00",2619.10734352112,2567.87345105529,2730.89684392571,2525.88998691264,2443.30643852912,2834.03209976841,2544.40575211489,2613.19056192323,2483.93294495907,2555.43753466666,2613.19056192323,2490.56
"01/06/2015 11:00",2784.61445072413,2712.58020427704,2886.44623599052,2630.75652390717,2509.3557542429,2899.84104092823,2638.5348265115,2673.47609955792,2573.08149782254,2581.6082765,2573.08149782254,2524.74
"01/06/2015 12:00",2889.29492169499,2825.4246804297,2981.0783141458,2699.43729994788,2554.52961214957,2928.3884801441,2691.0253819872,2700.87654634249,2670.36450033333,2653.5869685,2554.52961214957,2579.21
"01/06/2015 13:00",2933.18367110729,2898.27125820279,3019.74920374513,2733.12092777008,2577.88826846771,2947.17153544038,2700.46733735332,2704.52079052758,2622.00389800283,2645.60976533333,2577.88826846771,2556.73
"01/06/2015 14:00",2919.18765951633,2924.93451431155,3001.87841694236,2720.03811192839,2579.13261148109,2966.62826684901,2700.89435268229,2704.38767489401,2714.68572297094,2692.6040025,2579.13261148109,2566.53
"01/06/2015 15:00",2809.21924820066,2863.21767949581,2882.85253646016,2662.01550087135,2552.96713441072,2973.59747622109,2700.89435268229,2701.85827818176,2745.75747748126,2748.31231666667,2552.96713441072,2570.61
"01/06/2015 16:00",2679.13521240115,2737.36007749081,2700.21387903214,2541.5111790069,2497.91112379162,2917.56196842595,2696.97593614148,2701.23741800589,2731.77052788042,2733.74329116667,2497.91112379162,2627.69
"01/06/2015 17:00",2695.87139790535,2703.82365438342,2735.60680827141,2310.65135609469,2405.88479349008,2745.67514009106,2667.4892987153,2699.41336717555,2681.50670435608,2599.67211793831,2695.87139790535,2154.89
"01/06/2015 18:00",2648.01619086504,2693.40702479482,2697.239349792,2377.45490792177,2423.82212643828,2718.15311982504,2667.4892987153,2699.41336717555,2697.35720595034,2579.64176585498,2377.45490792177,1966.7
"01/06/2015 19:00",2605.97691441298,2681.39612590313,2668.01702394009,2449.53222911663,2444.11650131513,2685.92693136605,2667.4892987153,2699.41336717555,2706.97935051395,2580.49175918831,2449.53222911663,1983.4
"01/06/2015 20:00",2561.33963458896,2653.40661456823,2634.94177594543,2522.9839244312,2464.73580015312,2643.26729986267,2667.4892987153,2699.41336717555,2679.08769583408,2533.42346185498,2464.73580015312,2161.69
"01/06/2015 21:00",2515.09301437974,2609.24633449316,2596.82173439741,2596.60266983042,2485.49573497684,2593.02420762238,2667.4892987153,2699.41336717555,2655.58162011022,2481.41433427164,2485.49573497684,2456.1
"01/06/2015 22:00",2470.60066812873,2551.08300965548,2556.04415870309,2670.29575939578,2507.03297426918,2540.06282639177,2667.4892987153,2699.41336717555,2597.73499004847,2427.8270733532,2427.8270733532,2395.36
"01/06/2015 23:00",2432.3341858995,2487.37829910874,2518.77437737107,2740.22048939732,2527.93748498488,2489.37539278904,2638.10407959043,2637.22367258379,2343.88576150182,2317.60548448156,2317.60548448156,2296.52
